sample_ID	date	tank	pH	pH_date	metric	um
006	20190123	1	low	20190123_low	total.area..um.	18778.779
13	20190123	3	ambient	20190123_ambient	total.area..um.	16750.968
17	20190123	3	ambient	20190123_ambient	total.area..um.	17297.868
028	20190123	2	low	20190123_low	total.area..um.	15082.445
034	20190123	2	low	20190123_low	total.area..um.	16247.972
045	20190123	4	ambient	20190123_ambient	total.area..um.	16454.019
050	20190123	4	ambient	20190123_ambient	total.area..um.	15833.989
052	20190123	4	ambient	20190123_ambient	total.area..um.	17182.394
6	20190221	3	ambient	20190221_ambient	total.area..um.	17961.684
7	20190221	3	ambient	20190221_ambient	total.area..um.	18160.503
8	20190221	3	ambient	20190221_ambient	total.area..um.	15572.092
009	20190221	1	low	20190221_low	total.area..um.	16351.713
14	20190221	3	ambient	20190221_ambient	total.area..um.	23912.529
015	20190221	1	low	20190221_low	total.area..um.	18510.524
025	20190221	2	low	20190221_low	total.area..um.	18711.818
053	20190221	4	ambient	20190221_ambient	total.area..um.	17939.511
057	20190221	4	ambient	20190221_ambient	total.area..um.	24009.19
059	20190221	4	ambient	20190221_ambient	total.area..um.	15432.722
060	20190221	4	ambient	20190221_ambient	total.area..um.	22910.602
006	20190123	1	low	20190123_low	number.of.eggs	239
13	20190123	3	ambient	20190123_ambient	number.of.eggs	226
17	20190123	3	ambient	20190123_ambient	number.of.eggs	285
028	20190123	2	low	20190123_low	number.of.eggs	295
034	20190123	2	low	20190123_low	number.of.eggs	274
045	20190123	4	ambient	20190123_ambient	number.of.eggs	299
050	20190123	4	ambient	20190123_ambient	number.of.eggs	283
052	20190123	4	ambient	20190123_ambient	number.of.eggs	328
6	20190221	3	ambient	20190221_ambient	number.of.eggs	240
7	20190221	3	ambient	20190221_ambient	number.of.eggs	287
8	20190221	3	ambient	20190221_ambient	number.of.eggs	208
009	20190221	1	low	20190221_low	number.of.eggs	238
14	20190221	3	ambient	20190221_ambient	number.of.eggs	282
015	20190221	1	low	20190221_low	number.of.eggs	318
025	20190221	2	low	20190221_low	number.of.eggs	295
053	20190221	4	ambient	20190221_ambient	number.of.eggs	256
057	20190221	4	ambient	20190221_ambient	number.of.eggs	171
059	20190221	4	ambient	20190221_ambient	number.of.eggs	246
060	20190221	4	ambient	20190221_ambient	number.of.eggs	273
006	20190123	1	low	20190123_low	egg.area..based.on.ind.eggs.	1091.604
13	20190123	3	ambient	20190123_ambient	egg.area..based.on.ind.eggs.	1351.594
17	20190123	3	ambient	20190123_ambient	egg.area..based.on.ind.eggs.	2280.21
028	20190123	2	low	20190123_low	egg.area..based.on.ind.eggs.	1938.46
034	20190123	2	low	20190123_low	egg.area..based.on.ind.eggs.	1108.403
045	20190123	4	ambient	20190123_ambient	egg.area..based.on.ind.eggs.	2576.88
050	20190123	4	ambient	20190123_ambient	egg.area..based.on.ind.eggs.	2146.215
052	20190123	4	ambient	20190123_ambient	egg.area..based.on.ind.eggs.	2365.852
6	20190221	3	ambient	20190221_ambient	egg.area..based.on.ind.eggs.	2654.261
7	20190221	3	ambient	20190221_ambient	egg.area..based.on.ind.eggs.	2231.857
8	20190221	3	ambient	20190221_ambient	egg.area..based.on.ind.eggs.	1246.028
009	20190221	1	low	20190221_low	egg.area..based.on.ind.eggs.	2563.86
14	20190221	3	ambient	20190221_ambient	egg.area..based.on.ind.eggs.	3474.467
015	20190221	1	low	20190221_low	egg.area..based.on.ind.eggs.	3031.44
025	20190221	2	low	20190221_low	egg.area..based.on.ind.eggs.	2007.343
053	20190221	4	ambient	20190221_ambient	egg.area..based.on.ind.eggs.	1324.51
057	20190221	4	ambient	20190221_ambient	egg.area..based.on.ind.eggs.	1201.554
059	20190221	4	ambient	20190221_ambient	egg.area..based.on.ind.eggs.	3683.471
060	20190221	4	ambient	20190221_ambient	egg.area..based.on.ind.eggs.	2606.992
006	20190123	1	low	20190123_low	mean.egg.size	4.567380753
13	20190123	3	ambient	20190123_ambient	mean.egg.size	5.980504425
17	20190123	3	ambient	20190123_ambient	mean.egg.size	8.000736842
028	20190123	2	low	20190123_low	mean.egg.size	6.571050847
034	20190123	2	low	20190123_low	mean.egg.size	4.045266423
045	20190123	4	ambient	20190123_ambient	mean.egg.size	8.618327759
050	20190123	4	ambient	20190123_ambient	mean.egg.size	7.583798587
052	20190123	4	ambient	20190123_ambient	mean.egg.size	7.212963415
6	20190221	3	ambient	20190221_ambient	mean.egg.size	11.05942083
7	20190221	3	ambient	20190221_ambient	mean.egg.size	7.776505226
8	20190221	3	ambient	20190221_ambient	mean.egg.size	5.990519231
009	20190221	1	low	20190221_low	mean.egg.size	10.77252101
14	20190221	3	ambient	20190221_ambient	mean.egg.size	12.32080496
015	20190221	1	low	20190221_low	mean.egg.size	9.532830189
025	20190221	2	low	20190221_low	mean.egg.size	6.804552542
053	20190221	4	ambient	20190221_ambient	mean.egg.size	5.173867188
057	20190221	4	ambient	20190221_ambient	mean.egg.size	7.026631579
059	20190221	4	ambient	20190221_ambient	mean.egg.size	14.97345935
060	20190221	4	ambient	20190221_ambient	mean.egg.size	9.549421245
006	20190123	1	low	20190123_low	sd.egg.size	3.222659024
13	20190123	3	ambient	20190123_ambient	sd.egg.size	3.426167806
17	20190123	3	ambient	20190123_ambient	sd.egg.size	5.696372708
028	20190123	2	low	20190123_low	sd.egg.size	5.081042594
034	20190123	2	low	20190123_low	sd.egg.size	2.564964922
045	20190123	4	ambient	20190123_ambient	sd.egg.size	6.490392324
050	20190123	4	ambient	20190123_ambient	sd.egg.size	6.664831659
052	20190123	4	ambient	20190123_ambient	sd.egg.size	5.410701246
6	20190221	3	ambient	20190221_ambient	sd.egg.size	5.48963198
7	20190221	3	ambient	20190221_ambient	sd.egg.size	5.657008109
8	20190221	3	ambient	20190221_ambient	sd.egg.size	4.953350298
009	20190221	1	low	20190221_low	sd.egg.size	6.116506302
14	20190221	3	ambient	20190221_ambient	sd.egg.size	6.966339534
015	20190221	1	low	20190221_low	sd.egg.size	5.698084291
025	20190221	2	low	20190221_low	sd.egg.size	4.771052972
053	20190221	4	ambient	20190221_ambient	sd.egg.size	3.747516381
057	20190221	4	ambient	20190221_ambient	sd.egg.size	5.295130291
059	20190221	4	ambient	20190221_ambient	sd.egg.size	8.12796386
060	20190221	4	ambient	20190221_ambient	sd.egg.size	6.666040655
006	20190123	1	low	20190123_low	no.tissue.area	10541.34
13	20190123	3	ambient	20190123_ambient	no.tissue.area	11951.743
17	20190123	3	ambient	20190123_ambient	no.tissue.area	11214.55
028	20190123	2	low	20190123_low	no.tissue.area	9084.454
034	20190123	2	low	20190123_low	no.tissue.area	7829.505
045	20190123	4	ambient	20190123_ambient	no.tissue.area	10646.597
050	20190123	4	ambient	20190123_ambient	no.tissue.area	7199.997
052	20190123	4	ambient	20190123_ambient	no.tissue.area	10016.127
6	20190221	3	ambient	20190221_ambient	no.tissue.area	12695.705
7	20190221	3	ambient	20190221_ambient	no.tissue.area	8893.522
8	20190221	3	ambient	20190221_ambient	no.tissue.area	8452.98
009	20190221	1	low	20190221_low	no.tissue.area	10702.029
14	20190221	3	ambient	20190221_ambient	no.tissue.area	13950.254
015	20190221	1	low	20190221_low	no.tissue.area	10372.08
025	20190221	2	low	20190221_low	no.tissue.area	13064.158
053	20190221	4	ambient	20190221_ambient	no.tissue.area	5704.828
057	20190221	4	ambient	20190221_ambient	no.tissue.area	8359.844
059	20190221	4	ambient	20190221_ambient	no.tissue.area	8411.216
060	20190221	4	ambient	20190221_ambient	no.tissue.area	12494.5
006	20190123	1	low	20190123_low	connective.tissue.area..egg.based.on.indiv.	7145.835
13	20190123	3	ambient	20190123_ambient	connective.tissue.area..egg.based.on.indiv.	3447.631
17	20190123	3	ambient	20190123_ambient	connective.tissue.area..egg.based.on.indiv.	3803.108
028	20190123	2	low	20190123_low	connective.tissue.area..egg.based.on.indiv.	4059.531
034	20190123	2	low	20190123_low	connective.tissue.area..egg.based.on.indiv.	7310.064
045	20190123	4	ambient	20190123_ambient	connective.tissue.area..egg.based.on.indiv.	3230.542
050	20190123	4	ambient	20190123_ambient	connective.tissue.area..egg.based.on.indiv.	6487.777
052	20190123	4	ambient	20190123_ambient	connective.tissue.area..egg.based.on.indiv.	4800.415
6	20190221	3	ambient	20190221_ambient	connective.tissue.area..egg.based.on.indiv.	2658.987
7	20190221	3	ambient	20190221_ambient	connective.tissue.area..egg.based.on.indiv.	7035.124
8	20190221	3	ambient	20190221_ambient	connective.tissue.area..egg.based.on.indiv.	5873.084
009	20190221	1	low	20190221_low	connective.tissue.area..egg.based.on.indiv.	3085.824
14	20190221	3	ambient	20190221_ambient	connective.tissue.area..egg.based.on.indiv.	6487.808
015	20190221	1	low	20190221_low	connective.tissue.area..egg.based.on.indiv.	5107.004
025	20190221	2	low	20190221_low	connective.tissue.area..egg.based.on.indiv.	3640.317
053	20190221	4	ambient	20190221_ambient	connective.tissue.area..egg.based.on.indiv.	10910.173
057	20190221	4	ambient	20190221_ambient	connective.tissue.area..egg.based.on.indiv.	15642.31937
059	20190221	4	ambient	20190221_ambient	connective.tissue.area..egg.based.on.indiv.	3338.035
060	20190221	4	ambient	20190221_ambient	connective.tissue.area..egg.based.on.indiv.	7809.11
006	20190123	1	low	20190123_low	prop_egg	5.81296579506048
13	20190123	3	ambient	20190123_ambient	prop_egg	8.06875160886225
17	20190123	3	ambient	20190123_ambient	prop_egg	13.1820291379261
028	20190123	2	low	20190123_low	prop_egg	12.8524254522393
034	20190123	2	low	20190123_low	prop_egg	6.82179289821524
045	20190123	4	ambient	20190123_ambient	prop_egg	15.6610977536856
050	20190123	4	ambient	20190123_ambient	prop_egg	13.554480807079
052	20190123	4	ambient	20190123_ambient	prop_egg	13.7690475494858
6	20190221	3	ambient	20190221_ambient	prop_egg	14.7773504978709
7	20190221	3	ambient	20190221_ambient	prop_egg	12.289621052897
8	20190221	3	ambient	20190221_ambient	prop_egg	8.00167376355084
009	20190221	1	low	20190221_low	prop_egg	15.6794581705293
14	20190221	3	ambient	20190221_ambient	prop_egg	14.5299018769617
015	20190221	1	low	20190221_low	prop_egg	16.376845949904
025	20190221	2	low	20190221_low	prop_egg	10.7276748843966
053	20190221	4	ambient	20190221_ambient	prop_egg	7.38320013293562
057	20190221	4	ambient	20190221_ambient	prop_egg	5.00455867107553
059	20190221	4	ambient	20190221_ambient	prop_egg	23.8679281594005
060	20190221	4	ambient	20190221_ambient	prop_egg	11.3789764232297
006	20190123	1	low	20190123_low	prop_no_tissue	56.134320554068
13	20190123	3	ambient	20190123_ambient	prop_no_tissue	71.3495661862646
17	20190123	3	ambient	20190123_ambient	prop_no_tissue	64.8319781374213
028	20190123	2	low	20190123_low	prop_no_tissue	60.2319716730278
034	20190123	2	low	20190123_low	prop_no_tissue	48.1875830411328
045	20190123	4	ambient	20190123_ambient	prop_no_tissue	64.7051458977895
050	20190123	4	ambient	20190123_ambient	prop_no_tissue	45.4717822527223
052	20190123	4	ambient	20190123_ambient	prop_no_tissue	58.2929654622051
6	20190221	3	ambient	20190221_ambient	prop_no_tissue	70.6821531878637
7	20190221	3	ambient	20190221_ambient	prop_no_tissue	48.9717823344431
8	20190221	3	ambient	20190221_ambient	prop_no_tissue	54.2828799110614
009	20190221	1	low	20190221_low	prop_no_tissue	65.448977730957
14	20190221	3	ambient	20190221_ambient	prop_no_tissue	58.3386809483848
015	20190221	1	low	20190221_low	prop_no_tissue	56.0334218523473
025	20190221	2	low	20190221_low	prop_no_tissue	69.8176842036407
053	20190221	4	ambient	20190221_ambient	prop_no_tissue	31.8003539784334
057	20190221	4	ambient	20190221_ambient	prop_no_tissue	34.8193504237336
059	20190221	4	ambient	20190221_ambient	prop_no_tissue	54.5024785647017
060	20190221	4	ambient	20190221_ambient	prop_no_tissue	54.5358869225697
006	20190123	1	low	20190123_low	prop_cnx_tissue_indve	38.0527136508716
13	20190123	3	ambient	20190123_ambient	prop_cnx_tissue_indve	20.5816822048732
17	20190123	3	ambient	20190123_ambient	prop_cnx_tissue_indve	21.9859927246525
028	20190123	2	low	20190123_low	prop_cnx_tissue_indve	26.9156028747328
034	20190123	2	low	20190123_low	prop_cnx_tissue_indve	44.990624060652
045	20190123	4	ambient	20190123_ambient	prop_cnx_tissue_indve	19.6337563485249
050	20190123	4	ambient	20190123_ambient	prop_cnx_tissue_indve	40.9737369401987
052	20190123	4	ambient	20190123_ambient	prop_cnx_tissue_indve	27.9379869883091
6	20190221	3	ambient	20190221_ambient	prop_cnx_tissue_indve	14.8036620619759
7	20190221	3	ambient	20190221_ambient	prop_cnx_tissue_indve	38.7385966126599
8	20190221	3	ambient	20190221_ambient	prop_cnx_tissue_indve	37.7154463253877
009	20190221	1	low	20190221_low	prop_cnx_tissue_indve	18.8715640985137
14	20190221	3	ambient	20190221_ambient	prop_cnx_tissue_indve	27.1314171746535
015	20190221	1	low	20190221_low	prop_cnx_tissue_indve	27.5897321977487
025	20190221	2	low	20190221_low	prop_cnx_tissue_indve	19.4546409119627
053	20190221	4	ambient	20190221_ambient	prop_cnx_tissue_indve	60.816445888631
057	20190221	4	ambient	20190221_ambient	prop_cnx_tissue_indve	65.1513831578658
059	20190221	4	ambient	20190221_ambient	prop_cnx_tissue_indve	21.6295932758978
060	20190221	4	ambient	20190221_ambient	prop_cnx_tissue_indve	34.0851366542005
006	20190123	1	low	20190123_low	number.of.eggs.per.um2	0.0127271320462315
13	20190123	3	ambient	20190123_ambient	number.of.eggs.per.um2	0.0134917576106646
17	20190123	3	ambient	20190123_ambient	number.of.eggs.per.um2	0.0164760188943516
028	20190123	2	low	20190123_low	number.of.eggs.per.um2	0.0195591629871682
034	20190123	2	low	20190123_low	number.of.eggs.per.um2	0.0168636430441904
045	20190123	4	ambient	20190123_ambient	number.of.eggs.per.um2	0.0181718521171028
050	20190123	4	ambient	20190123_ambient	number.of.eggs.per.um2	0.017872944082505
052	20190123	4	ambient	20190123_ambient	number.of.eggs.per.um2	0.0190893073456469
6	20190221	3	ambient	20190221_ambient	number.of.eggs.per.um2	0.0133617761007264
7	20190221	3	ambient	20190221_ambient	number.of.eggs.per.um2	0.0158035270278582
8	20190221	3	ambient	20190221_ambient	number.of.eggs.per.um2	0.013357229073653
009	20190221	1	low	20190221_low	number.of.eggs.per.um2	0.0145550499816135
14	20190221	3	ambient	20190221_ambient	number.of.eggs.per.um2	0.0117929809933529
015	20190221	1	low	20190221_low	number.of.eggs.per.um2	0.0171794164227874
025	20190221	2	low	20190221_low	number.of.eggs.per.um2	0.0157654376501524
053	20190221	4	ambient	20190221_ambient	number.of.eggs.per.um2	0.0142701771525433
057	20190221	4	ambient	20190221_ambient	number.of.eggs.per.um2	0.00712227276305448
059	20190221	4	ambient	20190221_ambient	number.of.eggs.per.um2	0.0159401562472259
060	20190221	4	ambient	20190221_ambient	number.of.eggs.per.um2	0.0119158806913934
